"Buy %1$s","Kaufe %1$s"
"Buy %1$s for","Kaufe %1$s zum Preis von "
"Buy %1$s for %2$s","Kaufe %1$s zum Preis von %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufe %1$s zum Preis von je %2$s (%3$s inkl. Steuern)"
"Buy %1$s for %2$s each","Kaufe %1$s zum Preis von je %2$s"
"Buy %1$s with %2$s discount each","Kaufe %1$s mit je %2$s Rabatt"
"Choose a selection...","Bitte treffe eine Auswahl …"
"Please Select Products to Add","Bitte wähle Artikel zum hinzufügen"
"Please enter a number greater 0 in this field.","Bitte gib eine Zahl größer 0 in dieses Feld ein."
"Please enter search conditions to view products.","Bitte bestimme Suchkriterien, um Artikel anzeigen zu lassen."
"Please select options for product.","Bitte wähle Optionen für den Artikel aus."
"Please specify product option(s).","Bitte lege die Artikeloption(en) fest."
